NameSpace 39_2013 40_2013 41_2013 42_2013 43_2013 44_2013 45_2013 46_2013 47_2013 48_2013 49_2013 50_2013 51_2013 52_2013 00_2014 01_2014 02_2014 03_2014 04_2014 05_2014 06_2014 07_2014 08_2014 09_2014 10_2014 11_2014 12_2014 13_2014 14_2014 15_2014 16_2014 17_2014
136 2 0 1 0 2 0 1 3 1 1 21 0 0 0 0 0 14 0 1 0 1 1 7 0 0 0 0 0 0 0 0 0
137 3 11 0 5 0 1 7 3 4 1 5 3 4 0 8 1 0 0 1 0 0 0 1 0 0 3 0 0 1 6 0 0
138 9 7 8 0 12 19 11 39 23 1 29 13 0 0 0 26 0 5 25 10 16 16 12 20 10 34 14 5 27 16 10 0
139 55 87 97 39 38 75 66 101 66 110 35 33 0 2 12 30 54 48 120 38 67 14 80 178 80 6 120 33 36 40 43 8
140 3 5 6 6 2 1 0 0 0 0 10 1 0 0 0 3 0 0 0 0 0 0 0 1 3 1 0 0 0 0 0 0
141 1 12 9 9 2 10 15 4 2 3 7 3 0 1 0 20 0 21 8 0 14 4 11 8 1 2 1 12 5 1 0 0
142 2 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 11 3 8 0 2 0 3 0 3 12 12 2 0 0 78 2
143 3 1 0 5 7 17 1 12 0 1 6 41 0 0 0 1 0 3 0 0 0 0 0 0 0 0 18 0 2 1 1 0
144 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
145 6 5 3 40 7 3 0 4 0 1 0 2 0 0 0 7 2 27 5 11 6 5 0 0 2 12 16 9 6 5 5 0
146 2 22 2 21 21 7 9 17 8 0 4 17 0 0 0 7 0 5 7 7 0 1 3 14 0 0 1 0 0 0 0 3
147 2 0 4 1 12 5 0 0 2 1 1 6 0 0 0 0 0 1 0 28 2 1 8 1 0 2 1 4 0 0 0 0
148 1 0 3 1 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 6 0 0 0 0 0 0 1 1 0 0 0 0
149 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
150 1 0 0 0 24 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
151 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
152 1 2 1 7 19 7 11 6 14 45 24 24 0 11 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0
153 1 199 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
154 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
155 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
156 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
157 1 0 0 0 14 0 0 0 1 0 0 0 0 0 0 0 2 0 13 4 0 4 0 0 0 0 0 0 0 0 0 0
158 119 47 1090 374 81 52 68 126 137 30 81 204 107 62 27 73 20 42 227 48 137 88 114 72 22 123 276 124 143 169 41 0
159 53 201 0 2 0 7 229 0 0 0 5 41 15 0 0 7 1 112 2 38 1 0 0 0 0 0 0 0 1 0 0 0
160 148 12 0 288 87 242 307 140 105 30 111 43 41 0 0 101 10 16 13 48 157 56 53 4 21 75 1 21 0 27 5 1
161 2 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0
162 70 166 0 33 154 212 443 276 54 145 0 126 0 0 0 0 104 264 0 11 80 0 303 22 10 69 1 52 31 71 55 21
163 5 0 0 3 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0
164 120 20 365 75 28 94 529 90 6 27 3 112 0 0 0 20 6 23 21 16 6 0 22 13 14 12 8 0 0 12 1 0
165 42 33 12 6 8 55 54 116 119 4 42 6 4 3 69 47 101 51 43 183 95 151 90 88 31 53 9 113 10 0 7 24
166 1 0 0 3 1 4 4 0 2 0 1 2 1 1 0 11 1 1 0 4 1 0 14 9 0 3 1 0 0 0 0 0
167 1 2 0 1 6 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 2 0 1 0 0 0 0 0
168 1 2 1 0 0 1 0 0 0 22 0 371 0 0 2 85 146 89 97 32 142 22 36 18 29 91 28 42 58 63 15 0
169 21 48 64 22 6 1140 36 14 8 16 26 28 3 0 0 76 106 92 196 165 703 51 10 311 58 27 90 77 55 10 23 367
