Dados,Model,window,Qtd obj,Accuracy,Precision,Recall,f1_score,auc_roc,P,N,TP,FP,FN,TN,rcs ml,rcs always hot,rcs always warm,rcs opt,cost ml,cost always hot,cost always warm,cost opt,cost online
pop,Always Warm,13,1569,0.6494582536647546,0.0,0.0,0.0,0.0,550.0,1019.0,0.0,0.0,550.0,1019.0,-63.05221402057545,-0.13700164392710995,-63.05221402057545,0.0,1351.5982266778244,23.99244786711038,1351.5982266778244,21.101506752657315,21.101506752657315
pop,SVMR,13,1569,0.7214786488209051,0.937984496124031,0.22,0.35640648011782033,0.6060745829244357,550.0,1019.0,121.0,8.0,429.0,1011.0,-1.7205051103156115,-0.13700164392710995,-63.05221402057545,0.0,57.40675695596361,23.99244786711038,1351.5982266778244,21.101506752657315,21.101506752657315
pop,Online,14,1662,0.8110709987966306,0.7556719022687609,0.71334431630972,0.7338983050847457,0.790321447254386,607.0,1055.0,433.0,140.0,174.0,915.0,0.0,-0.1349066790143228,-92.39561790549304,0.0,23.129185505387728,26.249467110225797,2160.16457192646,23.129185505387728,23.129185505387728
pop,Always Hot,14,1662,0.36522262334536704,0.36522262334536704,1.0,0.5350374614367562,0.0,607.0,1055.0,607.0,1055.0,0.0,0.0,-0.1349066790143228,-0.1349066790143228,-92.39561790549304,0.0,26.249467110225797,26.249467110225797,2160.16457192646,23.129185505387728,23.129185505387728
pop,Always Warm,14,1662,0.634777376654633,0.0,0.0,0.0,0.0,607.0,1055.0,0.0,0.0,607.0,1055.0,-92.39561790549304,-0.1349066790143228,-92.39561790549304,0.0,2160.16457192646,26.249467110225797,2160.16457192646,23.129185505387728,23.129185505387728
pop,SVMR,14,1662,0.7346570397111913,0.9191919191919192,0.29983525535420097,0.45217391304347826,0.6423346892884749,607.0,1055.0,182.0,16.0,425.0,1039.0,-0.3201139744637812,-0.1349066790143228,-92.39561790549304,0.0,30.533161003627473,26.249467110225797,2160.16457192646,23.129185505387728,23.129185505387728
pop,Online,15,1747,0.8242701774470521,0.7318611987381703,0.7720465890183028,0.751417004048583,0.8118522648407396,601.0,1146.0,464.0,170.0,137.0,976.0,0.0,-0.15362456880647837,-95.0499740513484,0.0,24.971401546735972,28.807622341846713,2398.5024705897918,24.971401546735972,24.971401546735972
pop,Always Hot,15,1747,0.3440183171150544,0.3440183171150544,1.0,0.5119250425894378,0.0,601.0,1146.0,601.0,1146.0,0.0,0.0,-0.15362456880647837,-0.15362456880647837,-95.0499740513484,0.0,28.807622341846713,28.807622341846713,2398.5024705897918,24.971401546735972,24.971401546735972
pop,Always Warm,15,1747,0.6559816828849456,0.0,0.0,0.0,0.0,601.0,1146.0,0.0,0.0,601.0,1146.0,-95.0499740513484,-0.15362456880647837,-95.0499740513484,0.0,2398.5024705897918,28.807622341846713,2398.5024705897918,24.971401546735972,24.971401546735972
pop,SVMR,15,1747,0.7761877504293074,0.8832116788321168,0.40266222961730447,0.5531428571428572,0.6873695092240101,601.0,1146.0,242.0,32.0,359.0,1114.0,-0.15187879660146375,-0.15362456880647837,-95.0499740513484,0.0,28.764027963106162,28.807622341846713,2398.5024705897918,24.971401546735972,24.971401546735972
pop,Online,16,1819,0.8427707531610775,0.7496012759170654,0.7846410684474123,0.766721044045677,0.8279762719286242,599.0,1220.0,470.0,157.0,129.0,1063.0,0.0,-0.14620578377176172,-72.33829895957658,0.0,26.95574777129631,30.896834001352605,1976.8886887302685,26.95574777129631,26.95574777129631
pop,Always Hot,16,1819,0.32930181418361737,0.32930181418361737,1.0,0.49545078577336643,0.0,599.0,1220.0,599.0,1220.0,0.0,0.0,-0.14620578377176172,-0.14620578377176172,-72.33829895957658,0.0,30.896834001352605,30.896834001352605,1976.8886887302685,26.95574777129631,26.95574777129631
pop,Always Warm,16,1819,0.6706981858163826,0.0,0.0,0.0,0.0,599.0,1220.0,0.0,0.0,599.0,1220.0,-72.33829895957658,-0.14620578377176172,-72.33829895957658,0.0,1976.8886887302685,30.896834001352605,1976.8886887302685,26.95574777129631,26.95574777129631
pop,SVMR,16,1819,0.7636063771302913,0.8722466960352423,0.330550918196995,0.4794188861985472,0.6533902131968582,599.0,1220.0,198.0,29.0,401.0,1191.0,-0.7082545016889452,-0.14620578377176172,-72.33829895957658,0.0,46.04727747670867,30.896834001352605,1976.8886887302685,26.95574777129631,26.95574777129631
pop,Online,17,1947,0.8371854134565999,0.7242472266244057,0.7616666666666667,0.7424857839155159,0.8162453600593912,600.0,1347.0,457.0,174.0,143.0,1173.0,0.0,-0.16756438314941272,-56.12662577198121,0.0,28.32461718655069,33.07081419335831,1618.0898061507087,28.32461718655069,28.32461718655069
pop,Always Hot,17,1947,0.3081664098613251,0.3081664098613251,1.0,0.4711425206124853,0.0,600.0,1347.0,600.0,1347.0,0.0,0.0,-0.16756438314941272,-0.16756438314941272,-56.12662577198121,0.0,33.07081419335831,33.07081419335831,1618.0898061507087,28.32461718655069,28.32461718655069
pop,Always Warm,17,1947,0.6918335901386748,0.0,0.0,0.0,0.0,600.0,1347.0,0.0,0.0,600.0,1347.0,-56.12662577198121,-0.16756438314941272,-56.12662577198121,0.0,1618.0898061507087,33.07081419335831,1618.0898061507087,28.32461718655069,28.32461718655069
pop,SVMR,17,1947,0.783256291730868,0.8836206896551724,0.3416666666666667,0.49278846153846156,0.6608110616184113,600.0,1347.0,205.0,27.0,395.0,1320.0,-0.31752818671565913,-0.16756438314941272,-56.12662577198121,0.0,37.318481521211325,33.07081419335831,1618.0898061507087,28.32461718655069,28.32461718655069
pop,Online,18,2022,0.8447082096933729,0.7464114832535885,0.7512038523274478,0.7488,0.8187756216605073,623.0,1399.0,468.0,159.0,155.0,1240.0,0.0,-0.17005592373247122,-87.15922549739548,0.0,29.77576180834129,34.839306487496806,2625.0080996182965,29.77576180834129,29.77576180834129
pop,Always Hot,18,2022,0.30811078140454995,0.30811078140454995,1.0,0.47107750472589793,0.0,623.0,1399.0,623.0,1399.0,0.0,0.0,-0.17005592373247122,-0.17005592373247122,-87.15922549739548,0.0,34.839306487496806,34.839306487496806,2625.0080996182965,29.77576180834129,29.77576180834129
